[HEALTH] 2025-10-10 10:00:20 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:03:20 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:06:20 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:07:52 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:10:52 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:12:07 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:13:28 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:16:28 | plugin=gw_plugin | status=running | skg_api=bad(404)
[HEALTH] 2025-10-10 10:19:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 10:22:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 10:25:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 10:28:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 10:31:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 10:34:14 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 12:48:18 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 12:51:17 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 12:54:18 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 12:57:18 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:00:20 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:03:20 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:04:13 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:07:13 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:09:33 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:10:22 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:13:22 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:15:50 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:18:50 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 13:44:20 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:46:26 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:48:02 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:49:41 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:52:41 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:55:41 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 13:57:03 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 14:00:03 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:03:03 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:06:03 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:12:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 14:15:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:18:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:21:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:24:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:27:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:30:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:33:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:36:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:39:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:42:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:45:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:48:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:51:34 | plugin=gw_plugin | status=running | skg_api=ok
[HEALTH] 2025-10-10 14:54:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 14:57:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 15:00:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 15:03:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 15:06:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 15:09:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-10 15:12:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:24:43 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:39:43 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:41:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:44:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:47:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:50:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:53:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:56:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 09:59:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 10:02:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 10:05:34 | plugin=gw_plugin | status=running | skg_api=unreachable
[HEALTH] 2025-10-11 10:08:34 | plugin=gw_plugin | status=running | skg_api=unreachable
